all_trials	field_site	subject_sex	subject_age	date	subject	trial_subject	session	condition	order_condition	first_food_location	food_uncert_option	side_choice	success	first_search	second_search	searched_one	searched_both
47	kenya	female	32	28.04.19	alley	23	4	uncertainty	control_first	left	right	right	yes	right	NA	yes	no
48	kenya	female	32	28.04.19	alley	24	4	uncertainty	control_first	right	left	left	yes	right	left	yes	yes
1	kenya	male	35	21.04.19	safari	1	1	uncertainty	test_first	right	right	left	no	left	NA	yes	no
2	kenya	male	35	21.04.19	safari	2	1	uncertainty	test_first	left	left	left	yes	NA	NA	no	no
3	kenya	male	35	21.04.19	safari	3	1	uncertainty	test_first	right	right	left	no	right	NA	yes	no
4	kenya	male	35	21.04.19	safari	4	1	uncertainty	test_first	left	right	left	no	NA	NA	no	no
5	kenya	male	35	21.04.19	safari	5	1	uncertainty	test_first	right	left	left	yes	NA	NA	no	no
6	kenya	male	35	21.04.19	safari	6	1	uncertainty	test_first	left	left	left	yes	right	NA	yes	no
7	kenya	male	35	22.04.19	safari	7	2	uncertainty	test_first	left	right	right	yes	NA	NA	no	no
8	kenya	male	35	22.04.19	safari	8	2	uncertainty	test_first	right	left	right	no	NA	NA	no	no
9	kenya	male	35	22.04.19	safari	9	2	uncertainty	test_first	left	right	right	yes	left	right	yes	yes
10	kenya	male	35	22.04.19	safari	10	2	uncertainty	test_first	right	left	right	no	NA	NA	no	no
11	kenya	male	35	22.04.19	safari	11	2	uncertainty	test_first	left	left	left	yes	right	NA	yes	no
12	kenya	male	35	22.04.19	safari	12	2	uncertainty	test_first	right	right	left	no	NA	NA	no	no
13	kenya	male	35	23.04.19	safari	13	3	uncertainty	test_first	right	left	left	yes	NA	NA	no	no
14	kenya	male	35	23.04.19	safari	14	3	uncertainty	test_first	left	right	right	yes	NA	NA	no	no
15	kenya	male	35	23.04.19	safari	15	3	uncertainty	test_first	right	left	left	yes	NA	NA	no	no
16	kenya	male	35	23.04.19	safari	16	3	uncertainty	test_first	left	left	left	yes	left	NA	yes	no
17	kenya	male	35	23.04.19	safari	17	3	uncertainty	test_first	right	right	left	no	NA	NA	no	no
18	kenya	male	35	23.04.19	safari	18	3	uncertainty	test_first	left	right	left	no	NA	NA	no	no
19	kenya	male	35	24.04.19	safari	19	4	uncertainty	test_first	left	left	left	yes	NA	NA	no	no
20	kenya	male	35	24.04.19	safari	20	4	uncertainty	test_first	right	right	left	no	NA	NA	no	no
21	kenya	male	35	24.04.19	safari	21	4	uncertainty	test_first	left	left	left	yes	NA	NA	no	no
22	kenya	male	35	24.04.19	safari	22	4	uncertainty	test_first	right	right	left	no	NA	NA	no	no
23	kenya	male	35	24.04.19	safari	23	4	uncertainty	test_first	left	right	left	no	NA	NA	no	no
24	kenya	male	35	24.04.19	safari	24	4	uncertainty	test_first	right	left	left	yes	NA	NA	no	no
25	kenya	male	35	25.04.19	safari	1	1	control	test_first	NA	NA	left	yes	NA	NA	no	no
26	kenya	male	35	25.04.19	safari	2	1	control	test_first	NA	NA	right	yes	NA	NA	no	no
27	kenya	male	35	25.04.19	safari	3	1	control	test_first	NA	NA	left	yes	right	NA	yes	no
28	kenya	male	35	25.04.19	safari	4	1	control	test_first	NA	NA	left	yes	NA	NA	no	no
29	kenya	male	35	25.04.19	safari	5	1	control	test_first	NA	NA	left	yes	NA	NA	no	no
30	kenya	male	35	25.04.19	safari	6	1	control	test_first	NA	NA	left	yes	NA	NA	no	no
31	kenya	male	35	26.04.19	safari	7	2	control	test_first	NA	NA	left	yes	NA	NA	no	no
32	kenya	male	35	26.04.19	safari	8	2	control	test_first	NA	NA	left	yes	NA	NA	no	no
33	kenya	male	35	26.04.19	safari	9	2	control	test_first	NA	NA	left	yes	NA	NA	no	no
34	kenya	male	35	26.04.19	safari	10	2	control	test_first	NA	NA	right	yes	NA	NA	no	no
35	kenya	male	35	26.04.19	safari	11	2	control	test_first	NA	NA	right	yes	NA	NA	no	no
36	kenya	male	35	26.04.19	safari	12	2	control	test_first	NA	NA	left	yes	NA	NA	no	no
37	kenya	male	35	27.04.19	safari	13	3	control	test_first	NA	NA	right	yes	NA	NA	no	no
38	kenya	male	35	27.04.19	safari	14	3	control	test_first	NA	NA	left	yes	NA	NA	no	no
39	kenya	male	35	27.04.19	safari	15	3	control	test_first	NA	NA	left	yes	NA	NA	no	no
40	kenya	male	35	27.04.19	safari	16	3	control	test_first	NA	NA	left	yes	NA	NA	no	no
41	kenya	male	35	27.04.19	safari	17	3	control	test_first	NA	NA	left	yes	NA	NA	no	no
42	kenya	male	35	27.04.19	safari	18	3	control	test_first	NA	NA	left	yes	NA	NA	no	no
43	kenya	male	35	28.04.19	safari	19	4	control	test_first	NA	NA	left	yes	NA	NA	no	no
44	kenya	male	35	28.04.19	safari	20	4	control	test_first	NA	NA	left	yes	NA	NA	no	no
45	kenya	male	35	28.04.19	safari	21	4	control	test_first	NA	NA	left	yes	right	NA	yes	no
46	kenya	male	35	28.04.19	safari	22	4	control	test_first	NA	NA	left	yes	NA	NA	no	no
47	kenya	male	35	28.04.19	safari	23	4	control	test_first	NA	NA	left	yes	NA	NA	no	no
48	kenya	male	35	28.04.19	safari	24	4	control	test_first	NA	NA	left	yes	NA	NA	no	no
