	subject	condition	exploration_strategy	n	N_total	Proportion
92	mwanzo	changing_environment	piecewise_exploration	0	256	0
93	mwanzo	stable_environment	exploration_one_prospect	248	256	0.96875
94	mwanzo	stable_environment	no_exploration	8	256	0.03125
95	mwanzo	stable_environment	piecewise_exploration	0	256	0
96	mwanzo	stable_environment	comprehensive_exploration_each_prospect	0	256	0
97	roy	changing_environment	comprehensive_exploration_each_prospect	16	256	0.0625
98	roy	changing_environment	exploration_one_prospect	200	256	0.78125
99	roy	changing_environment	no_exploration	40	256	0.15625
100	roy	changing_environment	piecewise_exploration	0	256	0
101	roy	stable_environment	comprehensive_exploration_each_prospect	160	256	0.625
102	roy	stable_environment	exploration_one_prospect	80	256	0.3125
103	roy	stable_environment	piecewise_exploration	16	256	0.0625
104	roy	stable_environment	no_exploration	0	256	0
105	zee	changing_environment	comprehensive_exploration_each_prospect	136	256	0.53125
106	zee	changing_environment	exploration_one_prospect	32	256	0.125
107	zee	changing_environment	piecewise_exploration	88	256	0.34375
108	zee	changing_environment	no_exploration	0	256	0
109	zee	stable_environment	comprehensive_exploration_each_prospect	208	256	0.8125
110	zee	stable_environment	exploration_one_prospect	16	256	0.0625
111	zee	stable_environment	piecewise_exploration	32	256	0.125
112	zee	stable_environment	no_exploration	0	256	0
